551,1/07/2017 2:24,1/07/2017 2:33,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,26289,Subscriber,1981,1
291,1/07/2017 2:39,1/07/2017 2:44,3273,Manila & 1st,40.72165072,-74.04288411,3203,Hamilton Park,40.72759597,-74.04424731,26280,Customer,NULL,0
279,1/07/2017 2:39,1/07/2017 2:44,3273,Manila & 1st,40.72165072,-74.04288411,3203,Hamilton Park,40.72759597,-74.04424731,26284,Subscriber,1991,2
571,1/07/2017 2:40,1/07/2017 2:50,3199,Newport Pkwy,40.7287448,-74.0321082,3203,Hamilton Park,40.72759597,-74.04424731,29456,Subscriber,1992,1
216,1/07/2017 2:57,1/07/2017 3:00,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,26203,Subscriber,1982,1
201511,1/07/2017 3:02,3/07/2017 11:01,3276,Marin Light Rail,40.71458404,-74.04281706,3203,Hamilton Park,40.72759597,-74.04424731,29235,Customer,NULL,0
3116,1/07/2017 3:04,1/07/2017 3:56,3276,Marin Light Rail,40.71458404,-74.04281706,3203,Hamilton Park,40.72759597,-74.04424731,16215,Customer,NULL,0
3601,1/07/2017 3:04,1/07/2017 4:04,3276,Marin Light Rail,40.71458404,-74.04281706,3203,Hamilton Park,40.72759597,-74.04424731,29538,Customer,NULL,0
113993,1/07/2017 3:05,2/07/2017 10:44,3276,Marin Light Rail,40.71458404,-74.04281706,3203,Hamilton Park,40.72759597,-74.04424731,29527,Customer,NULL,0
659,1/07/2017 3:05,1/07/2017 3:16,3213,Van Vorst Park,40.71848892,-74.04772663,3190,Garfield Ave Station,40.71046702,-74.0700388,29228,Subscriber,1988,1
292,1/07/2017 3:07,1/07/2017 3:12,3276,Marin Light Rail,40.71458404,-74.04281706,3214,Essex Light Rail,40.7127742,-74.0364857,26153,Subscriber,1977,1
167,1/07/2017 3:07,1/07/2017 3:10,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,29526,Subscriber,1989,1
480,1/07/2017 3:27,1/07/2017 3:35,3220,5 Corners Library,40.73496102,-74.05950308,3203,Hamilton Park,40.72759597,-74.04424731,26162,Subscriber,1964,1
457,1/07/2017 4:00,1/07/2017 4:08,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3192,Liberty Light Rail,40.7112423,-74.0557013,29522,Subscriber,1992,2
437,1/07/2017 4:00,1/07/2017 4:07,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3192,Liberty Light Rail,40.7112423,-74.0557013,29485,Subscriber,1992,1
1872,1/07/2017 4:59,1/07/2017 5:30,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074263,-74.06378388,29525,Customer,NULL,0
577,1/07/2017 5:02,1/07/2017 5:12,3280,Astor Place,40.7192822,-74.07126188,3185,City Hall,40.7177325,-74.043845,29639,Subscriber,1958,1
